hazard_code,admin_division,phase,task_modules,role,criticality
Z11,XXII,R,,wspierający,niska
Z11,XXIII,R,,wspierający,niska
Z11,XXIV,R,,wspierający,niska
Z11,XXV,R,1,wspierający,niska
Z11,I,O,1,wspierający,niska
Z11,II,O,,wspierający,niska
Z11,III,O,1,wspierający,niska
Z11,IV,O,,wspierający,niska
Z11,V,O,3;6;7,współpracujący,średnia
Z11,VI,O,3;6;7,współpracujący,średnia
Z11,VII,O,,wspierający,niska
Z11,VIII,O,,wspierający,niska
Z11,IX,O,,wspierający,niska
Z11,X,O,,wspierający,niska
Z11,XI,O,,wspierający,niska
Z11,XII,O,,wspierający,niska
Z11,XIII,O,,wspierający,niska
Z11,XIV,O,,wspierający,niska
Z11,XV,O,,wspierający,niska
Z11,XVI,O,,wspierający,niska
Z11,XVII,O,3;6;7,wiodący,wysoka
Z11,XVIII,O,1,wspierający,niska
Z11,XIX,O,,wspierający,niska
Z11,XX,O,1,wspierający,niska
Z11,XXI,O,3;6;7,współpracujący,średnia
Z11,XXII,O,,wspierający,niska
Z11,XXIII,O,,wspierający,niska
Z11,XXIV,O,,wspierający,niska
Z11,XXV,O,1,wspierający,niska
Z12,I,R,1,wspierający,niska
Z12,II,R,,wspierający,niska
Z12,III,R,1,wspierający,niska
Z12,IV,R,1;4;7,współpracujący,średnia
Z12,V,R,1,wspierający,niska
Z12,VI,R,,wspierający,niska
Z12,VII,R,,wspierający,niska
Z12,VIII,R,,wspierający,niska
Z12,IX,R,,wspierający,niska
Z12,X,R,1;4;7,współpracujący,średnia
Z12,XI,R,,wspierający,niska
Z12,XII,R,,wspierający,niska
Z12,XIII,R,1;4;7,wiodący,wysoka
Z12,XIV,R,1;4;7,współpracujący,średnia
Z12,XV,R,,wspierający,niska
Z12,XVI,R,,wspierający,niska
Z12,XVII,R,,wspierający,niska
Z12,XVIII,R,1,wspierający,niska
Z12,XIX,R,1;4;7,współpracujący,średnia
Z12,XX,R,1,wspierający,niska
Z12,XXI,R,,wspierający,niska
Z12,XXII,R,,wspierający,niska
Z12,XXIII,R,,wspierający,niska
Z12,XXIV,R,,wspierający,niska
Z12,XXV,R,1,wspierający,niska
Z12,I,O,1,wspierający,niska
Z12,II,O,,wspierający,niska
Z12,III,O,1,wspierający,niska
Z12,IV,O,,wspierający,niska
Z12,V,O,1,wspierający,niska
Z12,VI,O,3;4;7,współpracujący,średnia
Z12,VII,O,,wspierający,niska
Z12,VIII,O,,wspierający,niska
Z12,IX,O,,wspierający,niska
Z12,X,O,3;4;7,współpracujący,średnia
Z12,XI,O,,wspierający,niska
Z12,XII,O,,wspierający,niska
Z12,XIII,O,3;4;7,wiodący,wysoka
Z12,XIV,O,,wspierający,niska
Z12,XV,O,,wspierający,niska
Z12,XVI,O,,wspierający,niska
Z12,XVII,O,,wspierający,niska
Z12,XVIII,O,1,wspierający,niska
Z12,XIX,O,,wspierający,niska
Z12,XX,O,1,wspierający,niska
Z12,XXI,O,,wspierający,niska
Z12,XXII,O,,wspierający,niska
Z12,XXIII,O,,wspierający,niska
Z12,XXIV,O,,wspierający,niska
Z12,XXV,O,3;4;7,współpracujący,średnia
Z13,I,R,1,wspierający,niska
Z13,II,R,,wspierający,niska
Z13,III,R,1,wspierający,niska
Z13,IV,R,,wspierający,niska
Z13,V,R,1,wspierający,niska
Z13,VI,R,,wspierający,niska
Z13,VII,R,,wspierający,niska
Z13,VIII,R,,wspierający,niska
Z13,IX,R,1;2;4;7,współpracujący,niska
Z13,X,R,,wspierający,niska
Z13,XI,R,,wspierający,niska
Z13,XII,R,,wspierający,niska
Z13,XIII,R,,wspierający,niska
Z13,XIV,R,1;2;4;5;7,współpracujący,niska
Z13,XV,R,,wspierający,niska
Z13,XVI,R,,wspierający,niska
Z13,XVII,R,1;2;4;7,współpracujący,niska
Z13,XVIII,R,1,wspierający,niska
Z13,XIX,R,1;2;4;5;7,wiodący,średnia
Z13,XX,R,1,wspierający,niska
Z13,XXI,R,1;2;4;5;7,wiodący,średnia
Z13,XXII,R,1;2;4;5;7,współpracujący,niska
Z13,XXIII,R,,wspierający,niska
Z13,XXIV,R,,wspierający,niska
Z13,XXV,R,1,wspierający,niska
Z13,I,O,1,wspierający,niska
Z13,II,O,3;6;7,współpracujący,niska
Z13,III,O,1,wspierający,niska
Z13,IV,O,,wspierający,niska
Z13,V,O,1,wspierający,niska
Z13,VI,O,,wspierający,niska
Z13,VII,O,,wspierający,niska
Z13,VIII,O,,wspierający,niska
Z13,IX,O,3;6;7,wiodący,średnia
Z13,X,O,,wspierający,niska
Z13,XI,O,,wspierający,niska
Z13,XII,O,,wspierający,niska
Z13,XIII,O,,wspierający,niska
Z13,XIV,O,,wspierający,niska
Z13,XV,O,,wspierający,niska
Z13,XVI,O,,wspierający,niska
Z13,XVII,O,3;6;7,współpracujący,niska
Z13,XVIII,O,1,wspierający,niska
Z13,XIX,O,,wspierający,niska
Z13,XX,O,1,wspierający,niska
Z13,XXI,O,3;6;7,wiodący,średnia
Z13,XXII,O,3;6;7,współpracujący,niska
Z13,XXIII,O,,wspierający,niska
Z13,XXIV,O,,wspierający,niska
Z13,XXV,O,1,wspierający,niska
Z14,I,R,1,wspierający,niska
Z14,II,R,,wspierający,niska
Z14,III,R,1,wspierający,niska
Z14,IV,R,1;2;3;4;7,wiodący,średnia
Z14,V,R,1,wspierający,niska
Z14,VI,R,,wspierający,niska
Z14,VII,R,,wspierający,niska
Z14,VIII,R,,wspierający,niska
Z14,IX,R,1;2;3;4;7,współpracujący,niska
Z14,X,R,,wspierający,niska
Z14,XI,R,,wspierający,niska
Z14,XII,R,,wspierający,niska
Z14,XIII,R,,wspierający,niska
Z14,XIV,R,,wspierający,niska
Z14,XV,R,,wspierający,niska
Z14,XVI,R,,wspierający,niska
Z14,XVII,R,,wspierający,niska
Z14,XVIII,R,1,wspierający,niska
Z14,XIX,R,1;2;3;4;7,współpracujący,niska
Z14,XX,R,1,wspierający,niska
Z14,XXI,R,,wspierający,niska
Z14,XXII,R,1;2;3;4;7,współpracujący,niska
Z14,XXIII,R,,wspierający,niska
Z14,XXIV,R,,wspierający,niska
Z14,XXV,R,1;2;3;4;7,współpracujący,niska
Z14,I,O,1,wspierający,niska
Z14,II,O,3;4;7,współpracujący,niska
Z14,III,O,1,wspierający,niska
Z14,IV,O,3;4;7,wiodący,średnia
Z14,V,O,1,wspierający,niska
Z14,VI,O,,wspierający,niska
Z14,VII,O,,wspierający,niska
Z14,VIII,O,,wspierający,niska
